Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths,daily_vaccinations,daily_vaccinations_per_million
Afghanistan,2021-04-22,58312.0,2561.0,98.0,4.0,8000,206
Afghanistan,2021-04-21,58214.0,2557.0,177.0,8.0,8000,206
Afghanistan,2021-04-20,58037.0,2549.0,139.0,3.0,8000,206
Afghanistan,2021-04-19,57898.0,2546.0,105.0,7.0,8000,206
Afghanistan,2021-04-18,57793.0,2539.0,72.0,0.0,8000,206
Afghanistan,2021-04-17,57721.0,2539.0,109.0,4.0,8000,206
Afghanistan,2021-04-16,57612.0,2535.0,78.0,2.0,8000,206
Afghanistan,2021-04-15,57534.0,2533.0,42.0,1.0,8000,206
Afghanistan,2021-04-14,57492.0,2532.0,128.0,3.0,8000,206
Afghanistan,2021-04-13,57364.0,2529.0,122.0,0.0,7286,187
Afghanistan,2021-04-12,57242.0,2529.0,82.0,8.0,6571,169
Afghanistan,2021-04-11,57160.0,2521.0,16.0,0.0,5857,150
Afghanistan,2021-04-10,57144.0,2521.0,125.0,0.0,5143,132
Afghanistan,2021-04-09,57019.0,2521.0,76.0,5.0,4429,114
Afghanistan,2021-04-08,56943.0,2516.0,70.0,4.0,3714,95
Afghanistan,2021-04-07,56873.0,2512.0,94.0,0.0,3000,77
Afghanistan,2021-04-06,56779.0,2512.0,62.0,4.0,3000,77
Afghanistan,2021-04-05,56717.0,2508.0,41.0,11.0,3000,77
Afghanistan,2021-04-04,56676.0,2497.0,81.0,1.0,3000,77
Afghanistan,2021-04-03,56595.0,2496.0,23.0,1.0,3000,77
Afghanistan,2021-04-02,56572.0,2495.0,55.0,6.0,3000,77
Afghanistan,2021-04-01,56517.0,2489.0,63.0,5.0,3000,77
Afghanistan,2021-03-31,56454.0,2484.0,70.0,8.0,3000,77
Afghanistan,2021-03-30,56384.0,2476.0,62.0,4.0,3000,77
Afghanistan,2021-03-29,56322.0,2472.0,28.0,2.0,3000,77
Afghanistan,2021-03-28,56294.0,2470.0,4.0,1.0,3000,77
Afghanistan,2021-03-27,56290.0,2469.0,36.0,2.0,3000,77
Afghanistan,2021-03-26,56254.0,2467.0,28.0,0.0,3000,77
Afghanistan,2021-03-25,56226.0,2467.0,34.0,1.0,3000,77
Afghanistan,2021-03-24,56192.0,2466.0,15.0,0.0,3000,77
Afghanistan,2021-03-23,56177.0,2466.0,24.0,2.0,3000,77
Afghanistan,2021-03-22,56153.0,2464.0,50.0,1.0,2980,77
Afghanistan,2021-03-21,56103.0,2463.0,10.0,1.0,2961,76
Afghanistan,2021-03-20,56093.0,2462.0,24.0,0.0,2941,76
Afghanistan,2021-03-19,56069.0,2462.0,25.0,0.0,2921,75
Afghanistan,2021-03-18,56044.0,2462.0,28.0,2.0,2902,75
Afghanistan,2021-03-17,56016.0,2460.0,21.0,0.0,2882,74
Afghanistan,2021-03-16,55995.0,2460.0,10.0,1.0,2862,74
Afghanistan,2021-03-15,55985.0,2459.0,0.0,2.0,2862,74
Afghanistan,2021-03-14,55985.0,2457.0,26.0,3.0,2862,74
Afghanistan,2021-03-13,55959.0,2454.0,0.0,0.0,2862,74
Afghanistan,2021-03-12,55959.0,2454.0,42.0,3.0,2862,74
Afghanistan,2021-03-11,55917.0,2451.0,23.0,0.0,2862,74
Afghanistan,2021-03-10,55894.0,2451.0,18.0,0.0,2862,74
Afghanistan,2021-03-09,55876.0,2451.0,0.0,0.0,2862,74
Afghanistan,2021-03-08,55876.0,2451.0,29.0,2.0,2862,74
Afghanistan,2021-03-07,55847.0,2449.0,7.0,0.0,2862,74
Afghanistan,2021-03-06,55840.0,2449.0,13.0,0.0,2649,68
Afghanistan,2021-03-05,55827.0,2449.0,52.0,3.0,2435,63
Afghanistan,2021-03-04,55775.0,2446.0,5.0,0.0,2221,57
Afghanistan,2021-03-03,55770.0,2446.0,11.0,0.0,2008,52
Afghanistan,2021-03-02,55759.0,2446.0,26.0,2.0,1794,46
Afghanistan,2021-03-01,55733.0,2444.0,19.0,1.0,1580,41
Afghanistan,2021-02-28,55714.0,2443.0,7.0,0.0,1367,35
Afghanistan,2021-02-27,55707.0,2443.0,11.0,1.0,1367,35
Afghanistan,2021-02-26,55696.0,2442.0,16.0,4.0,1367,35
Afghanistan,2021-02-25,55680.0,2438.0,16.0,2.0,1367,35
Afghanistan,2021-02-24,55664.0,2436.0,18.0,1.0,1367,35
Afghanistan,2021-02-23,55646.0,2435.0,29.0,2.0,1367,35
Afghanistan,2021-02-22,55617.0,2433.0,13.0,1.0,No Data,No Data
Albania,2021-04-30,131085.0,2394.0,108.0,5.0,12222,4247
Albania,2021-04-29,130977.0,2389.0,118.0,3.0,10036,3487
Albania,2021-04-28,130859.0,2386.0,123.0,3.0,8793,3055
Albania,2021-04-27,130736.0,2383.0,130.0,4.0,9551,3319
Albania,2021-04-26,130606.0,2379.0,69.0,1.0,8955,3112
Albania,2021-04-25,130537.0,2378.0,128.0,6.0,10205,3546
Albania,2021-04-24,130409.0,2372.0,139.0,5.0,10746,3734
Albania,2021-04-23,130270.0,2367.0,156.0,3.0,10961,3809
