,country,date,gdppc
162,Lithuania,2019,19550.727777653898
163,Luxembourg,2019,114685.168424149
164,"Macao SAR, China",2019,84096.39631120651
165,Madagascar,2019,523.359064460847
166,Malawi,2019,411.552340423602
167,Malaysia,2019,11414.206976520802
168,Maldives,2019,10626.513402239001
169,Mali,2019,879.008010446655
170,Malta,2019,29737.2459818839
171,Marshall Islands,2019,
172,Mauritania,2019,1679.44487300408
173,Mauritius,2019,11099.240283568799
174,Mexico,2019,9946.03382879198
175,"Micronesia, Fed. Sts.",2019,
176,Moldova,2019,4494.02379666688
177,Monaco,2019,
178,Mongolia,2019,4339.843279250271
179,Montenegro,2019,8910.49593423682
180,Morocco,2019,3204.0950031329803
181,Mozambique,2019,503.570772675202
182,Myanmar,2019,1407.81314341043
183,Namibia,2019,4957.458222264079
184,Nauru,2019,9396.98196681072
185,Nepal,2019,1071.0507605540402
186,Netherlands,2019,52295.0390498713
187,New Caledonia,2019,
188,New Zealand,2019,41557.8024107675
189,Nicaragua,2019,1912.9037453786896
190,Niger,2019,553.89505038138
191,Nigeria,2019,2229.85869624463
192,North Macedonia,2019,6022.216179395738
193,Northern Mariana Islands,2019,
194,Norway,2019,75419.63486880889
195,Oman,2019,15343.062004310601
196,Pakistan,2019,1284.70204090039
197,Palau,2019,14901.983531407901
198,Panama,2019,15731.0160348471
199,Papua New Guinea,2019,2829.1703089683697
200,Paraguay,2019,5414.79913793258
201,Peru,2019,6977.695783553821
202,Philippines,2019,3485.08421835861
203,Poland,2019,15694.7386279643
204,Portugal,2019,23213.9781989813
205,Puerto Rico,2019,32873.7192730424
206,Qatar,2019,62088.0618276987
207,Romania,2019,12913.073955785401
208,Russian Federation,2019,11584.995382610401
209,Rwanda,2019,820.0252416581592
210,Samoa,2019,4324.01401840457
211,San Marino,2019,
212,Sao Tome and Principe,2019,1946.64361370086
213,Saudi Arabia,2019,23139.798656121402
214,Senegal,2019,1446.8309649940802
215,Serbia,2019,7411.55864879005
216,Seychelles,2019,17448.2702926831
217,Sierra Leone,2019,527.5336343991111
218,Singapore,2019,65233.282439230185
219,Sint Maarten (Dutch part),2019,
