,country,date,gdppc
9456,Lao PDR,2019,2534.89827991125
9517,Latvia,2019,17819.2713755111
9578,Lebanon,2019,7583.69472170648
9639,Lesotho,2019,1118.13128380194
9700,Liberia,2019,621.892953622715
9761,Libya,2019,7685.9492665300295
9822,Liechtenstein,2019,
9883,Lithuania,2019,19550.727777653898
9944,Luxembourg,2019,114685.168424149
10005,"Macao SAR, China",2019,84096.39631120651
10066,Madagascar,2019,523.359064460847
10127,Malawi,2019,411.552340423602
10188,Malaysia,2019,11414.206976520802
10249,Maldives,2019,10626.513402239001
10310,Mali,2019,879.008010446655
10371,Malta,2019,29737.2459818839
10432,Marshall Islands,2019,
10493,Mauritania,2019,1679.4448730040801
10554,Mauritius,2019,11099.240283568799
10615,Mexico,2019,9946.03382879198
10676,"Micronesia, Fed. Sts.",2019,
10737,Moldova,2019,4494.02379666688
10798,Monaco,2019,
10859,Mongolia,2019,4339.843279250271
10920,Montenegro,2019,8910.49593423682
10981,Morocco,2019,3204.0950031329803
11042,Mozambique,2019,503.570772675202
11103,Myanmar,2019,1407.81314341043
11164,Namibia,2019,4957.458222264079
11225,Nauru,2019,9396.98196681072
11286,Nepal,2019,1071.0507605540402
11347,Netherlands,2019,52295.0390498713
11408,New Caledonia,2019,
11469,New Zealand,2019,41557.8024107675
11530,Nicaragua,2019,1912.9037453786898
11591,Niger,2019,553.89505038138
11652,Nigeria,2019,2229.85869624463
11713,North Macedonia,2019,6022.216179395739
11774,Northern Mariana Islands,2019,
11835,Norway,2019,75419.63486880889
11896,Oman,2019,15343.062004310601
11957,Pakistan,2019,1284.70204090039
12018,Palau,2019,14901.983531407901
12079,Panama,2019,15731.0160348471
12140,Papua New Guinea,2019,2829.1703089683697
12201,Paraguay,2019,5414.79913793258
12262,Peru,2019,6977.695783553821
12323,Philippines,2019,3485.08421835861
12384,Poland,2019,15694.7386279643
12445,Portugal,2019,23213.9781989813
12506,Puerto Rico,2019,32873.7192730424
12567,Qatar,2019,62088.0618276987
12628,Romania,2019,12913.073955785401
12689,Russian Federation,2019,11584.995382610401
12750,Rwanda,2019,820.0252416581591
12811,Samoa,2019,4324.01401840457
12872,San Marino,2019,
12933,Sao Tome and Principe,2019,1946.6436137008602
12994,Saudi Arabia,2019,23139.798656121402
