,country,population,confirmed,recovered,deaths
180,United Arab Emirates,9400145,518262,498943,1584
181,United Kingdom,66181585,4429841,14621,127756
182,Uruguay,3456750,195734,164965,2563
183,Uzbekistan,31910641,90406,86774,647
184,Vanuatu,276244,4,3,1
185,Venezuela,31977065,194959,177082,2099
186,Vietnam,95540800,2910,2516,35
187,West Bank and Gaza,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
188,Yemen,28250420,6294,2731,1222
189,Zambia,17094130,91533,89852,1250
190,Zimbabwe,16529904,38235,35594,1567
191,US,324459463,32283400,0,575056
192,Global,7444509223,150076081,87233798,3160668
